DOID:6683	Aarskog-Scott syndrome	 	C535331	 	2245
DOID:7693	abdominal aortic aneurysm	 	D017544	C27000	10855, 1234, 1524, 1636, 185, 2006, 3117, 3514, 3569, 3586, 368, 3952, 4282, 4313, 4317, 4318, 4319, 4524, 5104, 56729, 6376, 64131, 7076, 7078, 9370
DOID:1386	abetalipoproteinemia	 	D000012	C84525	338, 348, 4547
DOID:9164	achalasia	530	D004931	C84699	26191, 441792, 488, 5350, 811, 844
DOID:4480	achondroplasia	 	D000130	C34345	2261
DOID:3025	acinar cell carcinoma	 	D018267	C3768	2120, 324
DOID:6543	acne	 	 	C27195	10392, 290, 3934, 4311, 4313, 6278
DOID:12689	acoustic neuroma	 	D009464	C3276	1027, 11186, 1956, 2064, 2670, 4771, 5879, 5925, 9146
DOID:635	acquired immunodeficiency syndrome	 	D000163	C2851	1025, 1051, 10663, 1234, 1535, 155871, 1642, 2237, 26416, 29126, 3106, 3458, 355, 3565, 356, 3574, 3586, 3627, 3914, 4035, 4153, 4208, 4292, 4311, 454592, 581, 596, 6349, 6351, 6352, 6362, 6373, 641, 7251, 943
DOID:2834	acquired polycythemia	289	 	C27178	57126
DOID:2449	acromegaly	 	D000172	C84533	2688, 2690, 2692, 3479, 3483, 3486, 3630, 9049, 9370
DOID:7004	ACTH-secreting pituitary adenoma	 	D049913	C7462	4158, 5122, 5443, 9146
DOID:8866	actinic keratosis	702	D055623	C3148	1029, 1030, 22063, 2944, 3265, 4321, 6392, 7220
DOID:3021	acute kidney failure	 	 	 	10525, 1401, 3251, 3303, 3586
DOID:12556	acute kidney tubular necrosis	 	D007683	C34749	10461, 142, 3570, 3897, 558, 7301
DOID:12603	acute leukemia	208	 	C9300	10225, 1027, 1030, 10499, 10, 110279, 11350, 12505, 1543, 2120, 2130, 25, 285527, 286530, 2944, 2950, 2952, 317, 3239, 3251, 332, 3492, 3558, 355, 3563, 3565, 3569, 3576, 3586, 3717, 4297, 4298, 4353, 4363, 4524, 4552, 4609, 5371, 56998, 596, 613, 6402, 64127, 6502, 675, 7490, 861, 862, 898, 9429, 943, 944, 9590, 9961
DOID:9952	acute lymphocytic leukemia	204	 	C3167	1026, 1029, 10320, 10411, 14255, 1437, 2120, 2162, 25, 2623, 27125, 2950, 3115, 3195, 3574, 3576, 3586, 3716, 3899, 3981, 405, 4193, 4297, 4299, 440, 4524, 4683, 4684, 5054, 57379, 5925, 596, 613, 6347, 6469, 6573, 6667, 695, 7172, 7490, 796, 80705, 841, 861, 862, 9429, 947
DOID:8864	acute monocytic leukemia	206	D007948	C7318	10006, 1437, 3576, 4297, 6688
DOID:9119	acute myeloid leukemia	205	D015470	C3171	10225, 10232, 1027, 1029, 1030, 1045, 10499, 1050, 1052, 1053, 10855, 10, 11168, 1118, 11197, 1160, 1178, 12505, 1387, 14255, 14275, 1435, 1436, 1437, 1440, 1441, 1511, 1543, 1544, 1612, 1630, 1633, 1636, 18148, 1849, 19247, 1950, 1956, 1958, 1991, 2030, 20375, 2068, 2078, 207, 2120, 2122, 2175, 2177, 21, 2247, 2249, 2260, 2272, 2308, 25, 2623, 27036, 27180, 283, 284, 285, 290, 2944, 2952, 3110, 3201, 3205, 3206, 3209, 3237, 3239, 3265, 331, 332, 3394, 3439, 3479, 3480, 3485, 3553, 355, 3562, 3563, 3569, 3574, 3576, 3620, 3683, 3717, 3757, 3805, 3815, 3845, 3934, 3952, 3953, 4005, 4066, 406907, 4069, 4193, 4211, 4254, 4255, 4291, 4292, 4297, 4313, 4318, 4330, 4353, 4363, 4524, 4609, 4629, 4684, 4763, 5321, 5329, 5359, 567, 57167, 5781, 581, 5888, 5894, 5896, 5914, 5915, 5925, 596, 5972, 598, 613, 6347, 6348, 6387, 63976, 6401, 6402, 6418, 64324, 645537, 64919, 6497, 6502, 6670, 6688, 671, 672, 699, 7124, 7424, 7428, 7490, 7515, 7517, 79870, 80010, 811, 819, 820, 841, 857, 861, 862, 863, 864, 865, 867, 868, 8797, 8805, 8829, 8837, 8864, 891, 924, 930, 9370, 9402, 9429, 942, 945, 947, 9846, 9961
DOID:9408	acute myocardial infarction	410.9	 	C35204	185, 3091, 3673, 4313, 4318, 4323, 682
DOID:2913	acute pancreatitis	577	 	 	1080, 1906, 1909, 25464, 2952, 2, 3297, 3304, 3586, 3606, 3952, 4023, 4049, 4153, 4282, 6347, 6401, 6403, 6647, 6690, 7099, 7124, 81683, 929, 9370
DOID:559	acute pyelonephritis	590.1	 	 	133, 4153, 4318, 7076
DOID:5603	acute T cell leukemia	 	D015459	C3184	1482, 22806, 22807, 3195, 3576, 4602, 648
DOID:13774	Addison's disease	 	D000224	C26689	26191
