MIM100050	Aarskog Syndrome	2245, 2737, 445347, 5224, 5231, 5341, 56731, 5923, 619477, 6654, 6655, 6965, 6966, 89846, 9181, 9913, 998
MIM100070	Aortic Aneurysm, Familial Abdominal 1	100329167, 1281
MIM100100	Prune Belly Syndrome	1131
MIM100300	Adams Oliver syndrome	100188340, 285203, 4088, 4851, 57514, 57572, 5879, 6035, 998
MIM100600	Acanthosis Nigricans	154, 155, 2260, 2261, 2263, 3480, 3630, 3643, 3791, 4000, 4914, 5176, 5468, 57104, 723961
MIM100800	Achondroplasia	10253, 10641, 1267, 1277, 1280, 1300, 138428, 176, 200734, 2048, 2121, 2247, 2261, 2263, 2688, 3630, 4487, 4880, 4882, 5594, 5595, 5741, 5744, 6473, 6615, 723961, 8626
MIM101000	Neurofibromatosis 2	1029, 10413, 10611, 11186, 1125, 116986, 1490, 1822, 1950, 2035, 2119, 2272, 23136, 2321, 23705, 253152, 3035, 3084, 3546, 4193, 4288, 4478, 4744, 4763, 4771, 5730, 57534, 5829, 5879, 5962, 6035, 6045, 613, 6430, 6598, 672, 6850, 7157, 7248, 728689, 7422, 7430, 79852, 8314, 84260, 8663, 9146, 9223, 960
MIM101200	apert syndrome	2247, 2253, 2255, 2258, 2260, 2261, 2263, 5599, 57492, 595, 5979, 6774, 7291
MIM101400	Saethre-Chotzen Syndrome	158506, 2261, 2263, 2737, 3342, 3381, 4488, 4760, 5071, 5290, 5291, 5293, 5294, 632, 7291, 79594, 860, 9464
MIM101600	PFEIFFER SYNDROME	2260, 2261, 2263
MIM101800	ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE	5573
MIM101900	Acrokeratosis verruciformis of Hopf	488
MIM102200	PITUITARY ADENOMA, GROWTH HORMONE-SECRETING	4221, 9049
MIM102370	Acromicric dysplasia	2200, 4087, 7040, 9719
MIM102400	Acro-Osteolysis	10269, 4000
MIM102500	Hajdu-Cheney Syndrome	182, 3263, 4313, 4853
MIM102510	Acropectorovertebral Dysplasia, F-Form	414058
MIM102530	Globozoospermia	57120, 83893
MIM102700	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE D...	100, 2523, 3562, 3574, 4907, 5047, 947, 953
MIM102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	5313
MIM103050	Adenylosuccinate lyase deficiency	158, 2551, 2553, 471, 4780
MIM103100	Tonic Pupil	4359
MIM103285	Propping Zerres syndrome	10970, 1913, 6121, 7405, 8626, 9249
MIM103470	ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS	4286
MIM103500	Tietz syndrome	4286
MIM103580	PSEUDOHYPOPARATHYROIDISM, TYPE IA	10494, 1080, 138428, 23560, 2691, 2778, 2817, 283489, 2859, 353, 4160, 427, 5144, 55811, 5741, 5744, 6046, 6658, 7432, 796, 80347, 820, 8675, 8843, 92170
